smiles,molecular_weight,n_hba,n_hbd,logp,lipinski,fingerprint_df,predicted_pIC50,cid,patentID
C1CC1NC2=NC=C3C4=C(C=C(C=C4)C(=O)[O-])N=C(C3=N2)NC5=CC=CC(=C5)C(F)(F)F,438.1183329599101,7.0,2.0,3.8782000000000014,True,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 1 1 1 1 0 0 0
 1 1 0 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 0 1 0 1 1 1 0 1 0 0 0 0 1 0 0 1 0 1
 0 0 0 1 0 0 1 0 1 1 1 1 0 1 1 1 1 1 0]",11.922356,72200387,None
CC1=CC(=O)NC(=N1)SCC2=C(C=CC(=C2)NCl)Cl,314.99998833200004,4.0,2.0,3.5897200000000016,True,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 0 0
 0 0 0 1 0 0 1 1 0 0 0 0 0 1 1 0 1 1 1 0 1 0 0 1 1 0 0 0 0 1 0 0 1 1 0 0 1
 0 0 1 0 0 0 1 0 0 1 1 0 0 1 1 0 1 0 0 0 1 0 1 1 1 0 1 0 0 0 0 1 1 1 1 0 0
 0 0 1 1 0 1 1 1 1 0 1 0 1 1 1 1 1 1 0]",11.426166,136478425,"['US20100298336A1', 'US20150225423A1', 'US9040538B2', 'US9315521B2']"
CC1=C(C=C(C=C1OC)C2=C(NC(=N2)C(C)(C)C)C3=NC(=NC=C3)NCC(C)NC(=O)OC)NS(=O)(=O)C4CC4,571.257688284,9.0,4.0,4.208720000000002,True,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 1 1 0 0 0
 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1 1 1 0 1 0 0 0 1
 1 0 0 1 0 1 1 1 1 1 0 0 0 0 1 0 1 1 0 1 1 0 1 1 1 0 1 0 1 0 1 0 1 0 0 0 1
 1 1 1 0 1 0 1 0 0 1 1 0 1 1 1 1 1 0 0 1 1 0 1 0 1 1 1 0 0 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0]",11.29122,77892083,None
C1CC1NC2=NC=C3C4=C(C=C(C=C4)C(=O)O)N=C(C3=N2)NC5=CC=CC(=C5)C(F)(F)F,439.125609412,6.0,3.0,5.212900000000002,True,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 1 1 1 1 0 0 0
 1 1 0 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 0 1 0 1 1 1 0 1 0 1 0 0 1 0 0 1 0 1
 0 0 0 1 0 0 1 0 1 1 1 1 0 1 1 1 1 1 0]",11.237386,49779959,"['AU-2007289065-A1', 'AU-2007289065-A2', 'AU-2007289065-B2', 'AU-2009219154-A1', 'AU-2013207900-A1', 'AU-2013207900-B2', 'AU-2018201554-A1', 'AU-2018201554-B2', 'AU-2020239664-A1', 'BR-PI0719123-A2', 'CA-2661842-A1', 'CA-2661842-C', 'CA-2716755-A1', 'CA-2861066-A1', 'CA-2974246-A1', 'CN-102036561-A', 'CN-102481289-A', 'DK-2061765-T3', 'EP-2061765-A2', 'EP-2061765-B1', 'EP-2259678-A1', 'EP-3608317-A1', 'EP2061765A2', 'EP2061765B1', 'EP2259678A1', 'EP2846784A1', 'EP3608317A1', 'ES-2528316-T3', 'JP-2010502651-A', 'JP-2011515337-A', 'JP-2012524076-A', 'JP-2015508414-A', 'JP-2019023206-A', 'JP-2020063314-A', 'JP-2021185202-A', 'JP-5399905-B2', 'KR-102204989-B1', 'KR-20090050094-A', 'KR-20200063135-A', 'RU-2666530-C2', 'RU-2681209-C2', 'US-11242344-B2', 'US-2009105233-A1', 'US-2009239859-A1', 'US-2009264423-A2', 'US-2011263581-A1', 'US-2012208792-A1', 'US-2015119435-A1', 'US-2016022642-A1', 'US-2016058872-A1', 'US-2016272639-A1', 'US-2019365875-A1', 'US-2020392131-A1', 'US-2021260200-A1', 'US-7956064-B2', 'US-8168651-B2', 'US-9062043-B2', 'US07956064B2', 'US08168651B2', 'US09062043B2', 'US10040804B2', 'US10336771B2', 'US10730862B2', 'US10730870B2', 'US10889593B2', 'US10905768B1', 'US11046954B2', 'US20090105233', 'US20090105233A1', 'US20090239859', 'US20090239859A1', 'US20090264423', 'US20090264423A2', 'US20100173013A1', 'US20100267753A1', 'US20110212845', 'US20110212845A1', 'US20110263581', 'US20110263581A1', 'US20120129849', 'US20120129849A1', 'US20120208792', 'US20120208792A1', 'US20150119435A1', 'US20150291562A1', 'US20160022642A1', 'US20170037004A1', 'US20170051062A1', 'US20170333443A1', 'US20180169109A1', 'US20180170948A1', 'US20180179522A1', 'US20180215731A1', 'US20190002569A1', 'US20190127359A1', 'US20190233433A1', 'US20190276474A1', 'US20190322683A1', 'US20200155689A1', 'US20200155690A1', 'US20200390740A1', 'US20200392131A1', 'US20210106688A1', 'US20210139500A1', 'US7956064', 'US7956064B2', 'US8168651', 'US8168651B2', 'US9062043', 'US9062043B2', 'US9938302B2', 'WO-2008028168-A2', 'WO-2009108912-A1', 'WO-2010121225-A2', 'WO-2011041785-A1', 'WO-2019084026-A1', 'WO-2019199816-A1', 'WO2008028168A2', 'WO2009108912A1', 'WO2010080170A1', 'WO2010121225A2', 'WO2011011199A1', 'WO2011041785A1', 'WO2012054493A1', 'WO2013170147A1', 'WO2015124588A1', 'WO2015160845A2', 'WO2017011371A1', 'WO2018144649A1', 'WO2019173224A1', 'WO2019183523A1', 'WO2019199816A1']"
C1CCC2=C(C1)C3=C(C=CC4=C3C=NN4)N=C2C5=CC(=C(C=C5)N)F,332.14372476400007,3.0,2.0,4.378200000000003,True,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0
 0 0 0 0 0 0 1 0 0 1 1 0 0 1 0 0 0 0 0 0 1 0 1 0 1 0 0 1 0 0 0 1 0 1 0 0 0
 0 0 0 0 0 0 0 1 0 1 1 0 0 1 1 0 0 1 1 0 1 0 1 1 1 0 1 0 0 0 0 1 0 1 1 0 1
 0 0 1 1 0 0 0 0 1 0 1 0 0 1 1 1 0 1 0]",11.206169,155151770,"['US11040973B2', 'US20200308173A1']"
CC(C)OC(=O)NC1=CC2=C(C=C1)C3=CN=C(N=C3C(=N2)NC4=CC=CC(=C4)C(F)(F)F)NC5CC5,496.18345863600007,7.0,3.0,6.471600000000003,True,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0
 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
 1 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 1 1 1 1 0 0 1
 1 1 0 0 0 0 1 0 0 1 1 0 1 0 1 1 0 0 0 0 1 0 1 1 1 0 1 0 0 0 0 1 0 0 1 0 1
 0 1 0 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 0]",10.969903,57664251,"['AU-2007289065-A1', 'AU-2007289065-A2', 'AU-2007289065-B2', 'AU-2009219154-A1', 'CA-2661842-A1', 'CA-2661842-C', 'CA-2716755-A1', 'CA-2974246-A1', 'CA-2974246-C', 'DK-2061765-T3', 'EP-2061765-A2', 'EP-2061765-B1', 'EP-2259678-A1', 'EP2061765A2', 'EP2061765B1', 'EP2259678A1', 'ES-2528316-T3', 'JP-2011515337-A', 'US-2009105233-A1', 'US-2009239859-A1', 'US-2009264423-A2', 'US-2011263581-A1', 'US-2012208792-A1', 'US-7956064-B2', 'US-8168651-B2', 'US-9062043-B2', 'US07956064B2', 'US08168651B2', 'US09062043B2', 'US20090105233', 'US20090105233A1', 'US20090239859', 'US20090239859A1', 'US20090264423', 'US20090264423A2', 'US20110263581', 'US20110263581A1', 'US20120208792', 'US20120208792A1', 'US7956064', 'US7956064B2', 'US8168651', 'US8168651B2', 'US9062043', 'US9062043B2', 'WO-2008028168-A2', 'WO-2009108912-A1', 'WO2008028168A2', 'WO2009108912A1']"
CCC1=C2C(=CN1)C(C3=C(N2)CCCC3=O)C4=CC(=CC=C4)SC5=NC6=CC=CC=C6N5,440.167082388,4.0,3.0,6.169100000000005,True,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 1 1 0 0 0 0 1 0 0 1 0 1 1 0 0 0 0 0 0 0 0
 0 0 1 1 0 1 1 1 0 1 0 0 0 0 1 0 1 1 0 0 0 0 1 1 1 1 0 1 0 0 1 1 1 0 0 0 0
 1 0 0 1 0 0 0 1 0 1 1 0 0 0 1 0 1 1 0 0 1 1 0 0 1 0 1 0 0 0 0 1 1 1 1 0 1
 0 0 0 1 1 0 1 1 1 0 1 0 1 1 1 1 1 1 0]",10.785614,70645392,"['US20120220621A1', 'US20150266877A1', 'US9073917', 'US9073917B2', 'US9221817B2']"
CCN(C1=CN=CC=C1)C2=NC3=C(C=CC=C3C4=CC5=C(N4)CCNC5=O)C=C2,383.17461029200007,4.0,2.0,4.068800000000002,True,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0
 0 0 0 1 0 1 1 0 1 1 0 1 0 0 0 0 1 1 1 0 0 0 1 1 1 0 1 1 0 0 1 1 0 0 0 0 1
 1 0 0 1 0 0 1 1 0 1 1 1 0 0 1 0 1 0 0 0 1 0 1 0 1 0 1 1 0 0 0 1 1 1 1 0 1
 1 0 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 1 0]",10.751856,89783772,"['US-2015329538-A1', 'US-9394297-B2', 'US09394297B2', 'US20150329538', 'US20150329538A1', 'US9394297', 'US9394297B2', 'WO-2013130660-A1', 'WO2013130660A1']"
CN(C)CCOC1=C(C=C(C=C1)C2=CNC3=C2C(=NC=N3)NC4=CC(=C(C=C4)OCC5=CC=CC=N5)Cl)NC(=O)C=C,583.2098655000002,8.0,3.0,6.060800000000004,False,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0
 1 0 0 1 0 0 1 0 0 1 0 1 1 1 0 0 0 1 1 1 0 1 1 0 1 1 1 1 0 1 0 1 0 1 0 1 1
 1 0 1 0 1 1 1 1 0 1 1 1 0 0 1 1 1 0 0 0 1 1 1 1 1 0 1 1 0 0 0 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0]",10.733309,162656328,None
CC1=CC(=NC(=N1)NS(=O)(=O)C2=CC=C(C=C2)NC(=O)CCCC(=O)O)C,392.1154407399999,6.0,3.0,2.08764,True,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 1 1 1 0 0 1 1 0 1 0 1 0 0 0 1
 0 0 0 1 0 0 1 1 0 0 0 0 0 0 1 0 1 1 1 0 1 0 0 1 1 0 0 0 1 0 1 0 1 0 0 0 1
 1 1 0 0 0 0 1 1 0 1 1 0 1 1 1 0 0 0 0 1 1 1 1 0 1 1 1 0 1 1 0 1 0 0 1 1 1
 1 1 0 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0]",10.723598,2813400,None
